load,price,solar
64.85,22.0,1.0
68.88,24.0,11.0
73.42,27.0,37.0
75.9,27.0,72.0
77.21,30.0,100.0
74.95,27.0,112.0
72.71,26.0,105.0
71.07,24.0,82.0
69.59,24.0,51.0
71.06,25.0,20.0
75.2,31.0,3.0
77.86,32.0,0.0
77.62,30.0,0.0
75.36,26.0,0.0
71.88,23.0,0.0
72.66,23.0,0.0
69.32,19.0,0.0
68.73,17.0,0.0
65.51,16.0,0.0
64.6,18.0,0.0
64.85,17.0,0.0
67.38,18.0,0.0
74.28,20.0,0.0
81.0,28.0,0.0
89.3,38.0,1.0
93.56,40.0,14.0
94.9,39.0,41.0
96.76,38.0,75.0
97.21,38.0,105.0
95.79,36.0,116.0
95.66,36.0,107.0
95.05,35.0,85.0
92.88,37.0,54.0
91.65,36.0,20.0
93.18,43.0,3.0
94.21,44.0,0.0
88.02,39.0,0.0
84.95,35.0,0.0
82.08,33.0,0.0
82.11,32.0,0.0
78.8,28.0,0.0
75.36,31.0,0.0
71.75,29.0,0.0
70.37,28.0,0.0
69.31,28.0,0.0
68.36,29.0,0.0
74.67,33.0,0.0
84.13,41.0,0.0
91.45,55.0,1.0
92.28,56.0,17.0
92.14,56.0,53.0
92.49,56.0,101.0
93.78,54.0,145.0
92.3,52.0,168.0
90.89,52.0,160.0
92.37,50.0,125.0
90.12,52.0,76.0
89.08,53.0,29.0
94.29,64.0,5.0
93.09,67.0,0.0
87.49,60.0,0.0
83.01,50.0,0.0
77.49,44.0,0.0
78.57,41.0,0.0
72.35,37.0,0.0
70.65,33.0,0.0
70.83,31.0,0.0
69.87,30.0,0.0
67.85,31.0,0.0
68.45,31.0,0.0
74.13,34.0,0.0
80.36,42.0,0.0
88.44,59.0,1.0
92.1,62.0,15.0
91.82,61.0,42.0
94.14,58.0,79.0
94.72,57.0,115.0
93.14,52.0,137.0
93.2,52.0,138.0
92.02,51.0,115.0
89.94,52.0,75.0
86.14,55.0,31.0
92.81,63.0,5.0
90.32,69.0,0.0
86.14,60.0,0.0
82.41,50.0,0.0
78.62,44.0,0.0
77.21,42.0,0.0
72.86,33.0,0.0
64.33,35.0,0.0
61.2,32.0,0.0
60.83,31.0,0.0
59.03,31.0,0.0
59.92,32.0,0.0
65.76,34.0,0.0
76.49,45.0,0.0
83.51,56.0,1.0
86.37,63.0,12.0
87.4,63.0,37.0
86.29,59.0,68.0
91.3,57.0,93.0
89.6,51.0,103.0
89.04,51.0,97.0
86.75,48.0,78.0
79.89,45.0,50.0
80.66,45.0,20.0
86.14,51.0,3.0
89.96,54.0,0.0
83.11,46.0,0.0
76.31,42.0,0.0
73.33,34.0,0.0
71.85,32.0,0.0
64.18,28.0,0.0
67.92,29.0,0.0
62.14,29.0,0.0
57.8,27.0,0.0
56.09,27.0,0.0
56.79,27.0,0.0
63.44,29.0,0.0
76.32,37.0,0.0
91.37,48.0,2.0
95.91,50.0,14.0
96.33,49.0,40.0
96.24,46.0,70.0
93.34,45.0,97.0
88.89,43.0,109.0
87.14,40.0,106.0
85.93,38.0,86.0
83.03,40.0,53.0
80.54,44.0,21.0
88.68,50.0,4.0
88.84,52.0,0.0
83.6,49.0,0.0
77.79,43.0,0.0
71.03,37.0,0.0
70.63,36.0,0.0
67.2,33.0,0.0
69.93,66.0,0.0
66.92,65.0,0.0
65.09,63.0,0.0
62.18,59.0,0.0
61.9,59.0,0.0
64.01,58.0,0.0
66.67,59.0,0.0
73.51,65.0,2.0
79.43,67.0,20.0
81.99,66.0,59.0
83.34,67.0,108.0
83.55,65.0,151.0
82.11,60.0,173.0
80.47,55.0,165.0
78.14,51.0,132.0
78.45,50.0,84.0
79.08,50.0,33.0
83.0,60.0,6.0
84.91,60.0,0.0
79.02,54.0,0.0
75.7,41.0,0.0
71.89,32.0,0.0
72.96,32.0,0.0
69.28,25.0,0.0
64.75,29.0,0.0
60.95,24.0,0.0
59.8,15.0,0.0
58.76,12.0,0.0
57.86,16.0,0.0
58.64,15.0,0.0
60.53,18.0,0.0
66.08,22.0,1.0
67.92,21.0,20.0
73.16,29.0,49.0
76.94,36.0,84.0
79.67,40.0,107.0
76.94,38.0,149.0
75.39,32.0,161.0
72.63,34.0,120.0
70.85,41.0,70.0
71.13,40.0,27.0
74.42,59.0,4.0
75.89,72.0,0.0
75.85,71.0,0.0
73.62,70.0,0.0
70.43,64.0,0.0
